x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7965e+01,2.2228e-28,9.9992e+01
-14.2500,3.7833e+01,4.7936e-28,9.9975e+01
-13.5000,3.7045e+01,6.2235e-28,9.9917e+01
-12.7500,3.5428e+01,1.0435e-27,9.9726e+01
-12.0000,3.2599e+01,2.6010e-27,9.9101e+01
-11.2500,2.8097e+01,1.1288e-26,9.7134e+01
-10.5000,2.1531e+01,9.0371e-26,9.1601e+01
-9.7500,1.3569e+01,1.1536e-24,7.9934e+01
-9.0000,7.0284e+00,1.7035e-23,6.5501e+01
-8.2500,3.4547e+00,1.8827e-22,5.5960e+01
-7.5000,2.3223e+00,1.1049e-21,5.1958e+01
-6.7500,2.0025e+00,3.4526e-21,5.0606e+01
-6.0000,1.7391e+00,7.6435e-21,5.0184e+01
-5.2500,1.5956e+00,1.3236e-20,5.0056e+01
-4.5000,1.5215e+00,1.9696e-20,5.0017e+01
-3.7500,1.4930e+00,2.6871e-20,5.0005e+01
-3.0000,1.5104e+00,3.4823e-20,5.0002e+01
-2.2500,1.5600e+00,4.2351e-20,5.0000e+01
-1.5000,1.5149e+00,4.6763e-20,5.0000e+01
-0.7500,1.4967e+00,4.9954e-20,5.0000e+01
0.0000,1.5140e+00,4.5306e-20,5.0000e+01
0.7500,1.4961e+00,4.6611e-20,5.0000e+01
1.5000,1.4893e+00,4.0602e-20,5.0000e+01
2.2500,1.4861e+00,3.4931e-20,5.0000e+01
3.0000,1.4876e+00,2.9391e-20,5.0002e+01
3.7500,1.4970e+00,2.3808e-20,5.0005e+01
4.5000,1.5301e+00,1.8133e-20,5.0017e+01
5.2500,1.6009e+00,1.2483e-20,5.0056e+01
6.0000,1.7418e+00,7.3090e-21,5.0184e+01
6.7500,2.0047e+00,3.3245e-21,5.0606e+01
7.5000,2.3223e+00,1.0669e-21,5.1958e+01
8.2500,3.4559e+00,1.8204e-22,5.5960e+01
9.0000,7.0272e+00,1.6459e-23,6.5501e+01
9.7500,1.3567e+01,1.1130e-24,7.9934e+01
10.5000,2.1530e+01,8.7146e-26,9.1601e+01
11.2500,2.8097e+01,1.0882e-26,9.7134e+01
12.0000,3.2597e+01,2.5067e-27,9.9101e+01
12.7500,3.5427e+01,1.0055e-27,9.9726e+01
13.5000,3.7044e+01,5.9958e-28,9.9917e+01
14.2500,3.7832e+01,4.6178e-28,9.9975e+01
15.0000,3.7962e+01,2.1407e-28,9.9992e+01
