x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,4.8087e+01,2.6179e-28,9.9992e+01
-14.2500,4.8198e+01,5.7493e-28,9.9975e+01
-13.5000,4.7310e+01,7.5052e-28,9.9917e+01
-12.7500,4.5284e+01,1.2529e-27,9.9726e+01
-12.0000,4.1625e+01,3.0740e-27,9.9101e+01
-11.2500,3.5919e+01,1.3186e-26,9.7134e+01
-10.5000,2.7915e+01,1.0381e-25,9.1601e+01
-9.7500,1.7300e+01,1.2309e-24,7.9934e+01
-9.0000,8.5792e+00,1.7994e-23,6.5501e+01
-8.2500,3.9852e+00,1.9257e-22,5.5960e+01
-7.5000,2.4105e+00,1.0194e-21,5.1958e+01
-6.7500,1.9096e+00,2.9875e-21,5.0606e+01
-6.0000,1.5052e+00,6.4414e-21,5.0184e+01
-5.2500,1.2585e+00,1.0989e-20,5.0056e+01
-4.5000,1.1216e+00,1.6085e-20,5.0017e+01
-3.7500,1.0698e+00,2.1391e-20,5.0005e+01
-3.0000,1.1041e+00,2.6603e-20,5.0002e+01
-2.2500,1.1284e+00,3.0783e-20,5.0000e+01
-1.5000,1.0791e+00,3.3640e-20,5.0000e+01
-0.7500,1.0686e+00,3.6405e-20,5.0000e+01
0.0000,1.0906e+00,3.4338e-20,5.0000e+01
0.7500,1.0678e+00,3.5804e-20,5.0000e+01
1.5000,1.0701e+00,3.2456e-20,5.0000e+01
2.2500,1.0837e+00,2.9090e-20,5.0000e+01
3.0000,1.0692e+00,2.5056e-20,5.0002e+01
3.7500,1.0631e+00,2.0291e-20,5.0005e+01
4.5000,1.1198e+00,1.5376e-20,5.0017e+01
5.2500,1.2574e+00,1.0562e-20,5.0056e+01
6.0000,1.5033e+00,6.2088e-21,5.0184e+01
6.7500,1.9066e+00,2.8837e-21,5.0606e+01
7.5000,2.4107e+00,9.8414e-22,5.1958e+01
8.2500,3.9832e+00,1.8578e-22,5.5960e+01
9.0000,8.5757e+00,1.7346e-23,6.5501e+01
9.7500,1.7296e+01,1.1859e-24,7.9934e+01
10.5000,2.7914e+01,9.9984e-26,9.1601e+01
11.2500,3.5921e+01,1.2700e-26,9.7134e+01
12.0000,4.1625e+01,2.9602e-27,9.9101e+01
12.7500,4.5287e+01,1.2065e-27,9.9726e+01
13.5000,4.7309e+01,7.2256e-28,9.9917e+01
14.2500,4.8196e+01,5.5356e-28,9.9975e+01
15.0000,4.8087e+01,2.5201e-28,9.9992e+01
