x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7965e+01,2.2230e-28,9.9992e+01
-14.2500,3.7833e+01,4.7940e-28,9.9975e+01
-13.5000,3.7045e+01,6.2243e-28,9.9917e+01
-12.7500,3.5428e+01,1.0438e-27,9.9726e+01
-12.0000,3.2600e+01,2.6022e-27,9.9101e+01
-11.2500,2.8101e+01,1.1299e-26,9.7134e+01
-10.5000,2.1536e+01,9.0550e-26,9.1601e+01
-9.7500,1.3579e+01,1.1581e-24,7.9934e+01
-9.0000,7.0432e+00,1.7160e-23,6.5501e+01
-8.2500,3.4780e+00,1.9053e-22,5.5960e+01
-7.5000,2.3538e+00,1.1242e-21,5.1958e+01
-6.7500,2.0428e+00,3.5327e-21,5.0606e+01
-6.0000,1.7862e+00,7.8695e-21,5.0184e+01
-5.2500,1.6520e+00,1.3729e-20,5.0056e+01
-4.5000,1.5891e+00,2.0612e-20,5.0017e+01
-3.7500,1.5781e+00,2.8431e-20,5.0005e+01
-3.0000,1.6327e+00,3.7328e-20,5.0002e+01
-2.2500,1.7067e+00,4.5932e-20,5.0000e+01
-1.5000,1.6635e+00,5.1065e-20,5.0000e+01
-0.7500,1.5897e+00,5.4001e-20,5.0000e+01
0.0000,1.5903e+00,4.8527e-20,5.0000e+01
0.7500,1.5791e+00,4.9666e-20,5.0000e+01
1.5000,1.5764e+00,4.3048e-20,5.0000e+01
2.2500,1.5723e+00,3.6844e-20,5.0000e+01
3.0000,1.5665e+00,3.0832e-20,5.0002e+01
3.7500,1.5701e+00,2.4845e-20,5.0005e+01
4.5000,1.5940e+00,1.8822e-20,5.0017e+01
5.2500,1.6570e+00,1.2888e-20,5.0056e+01
6.0000,1.7891e+00,7.5058e-21,5.0184e+01
6.7500,2.0424e+00,3.3963e-21,5.0606e+01
7.5000,2.3530e+00,1.0847e-21,5.1958e+01
8.2500,3.4787e+00,1.8417e-22,5.5960e+01
9.0000,7.0421e+00,1.6577e-23,6.5501e+01
9.7500,1.3576e+01,1.1173e-24,7.9934e+01
10.5000,2.1535e+01,8.7319e-26,9.1601e+01
11.2500,2.8100e+01,1.0892e-26,9.7134e+01
12.0000,3.2599e+01,2.5080e-27,9.9101e+01
12.7500,3.5428e+01,1.0058e-27,9.9726e+01
13.5000,3.7045e+01,5.9966e-28,9.9917e+01
14.2500,3.7832e+01,4.6183e-28,9.9975e+01
15.0000,3.7962e+01,2.1409e-28,9.9992e+01
