x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7964e+01,2.2231e-28,9.9992e+01
-14.2500,3.7832e+01,4.7943e-28,9.9975e+01
-13.5000,3.7044e+01,6.2249e-28,9.9917e+01
-12.7500,3.5427e+01,1.0439e-27,9.9726e+01
-12.0000,3.2599e+01,2.6025e-27,9.9101e+01
-11.2500,2.8100e+01,1.1298e-26,9.7134e+01
-10.5000,2.1537e+01,9.0483e-26,9.1601e+01
-9.7500,1.3582e+01,1.1557e-24,7.9934e+01
-9.0000,7.0491e+00,1.7069e-23,6.5501e+01
-8.2500,3.4874e+00,1.8848e-22,5.5960e+01
-7.5000,2.3621e+00,1.1029e-21,5.1958e+01
-6.7500,2.0534e+00,3.4326e-21,5.0606e+01
-6.0000,1.7992e+00,7.5518e-21,5.0184e+01
-5.2500,1.6641e+00,1.2954e-20,5.0056e+01
-4.5000,1.5993e+00,1.9035e-20,5.0017e+01
-3.7500,1.5762e+00,2.5566e-20,5.0005e+01
-3.0000,1.5899e+00,3.2674e-20,5.0002e+01
-2.2500,1.6489e+00,4.0212e-20,5.0000e+01
-1.5000,1.6071e+00,4.4875e-20,5.0000e+01
-0.7500,1.5813e+00,4.7934e-20,5.0000e+01
0.0000,1.5950e+00,4.3405e-20,5.0000e+01
0.7500,1.5785e+00,4.4455e-20,5.0000e+01
1.5000,1.5721e+00,3.8576e-20,5.0000e+01
2.2500,1.5701e+00,3.3194e-20,5.0000e+01
3.0000,1.5701e+00,2.8117e-20,5.0002e+01
3.7500,1.5768e+00,2.3019e-20,5.0005e+01
4.5000,1.6030e+00,1.7716e-20,5.0017e+01
5.2500,1.6683e+00,1.2307e-20,5.0056e+01
6.0000,1.8002e+00,7.2510e-21,5.0184e+01
6.7500,2.0520e+00,3.3115e-21,5.0606e+01
7.5000,2.3609e+00,1.0659e-21,5.1958e+01
8.2500,3.4864e+00,1.8224e-22,5.5960e+01
9.0000,7.0476e+00,1.6489e-23,6.5501e+01
9.7500,1.3579e+01,1.1149e-24,7.9934e+01
10.5000,2.1536e+01,8.7251e-26,9.1601e+01
11.2500,2.8100e+01,1.0891e-26,9.7134e+01
12.0000,3.2598e+01,2.5082e-27,9.9101e+01
12.7500,3.5427e+01,1.0059e-27,9.9726e+01
13.5000,3.7044e+01,5.9971e-28,9.9917e+01
14.2500,3.7831e+01,4.6186e-28,9.9975e+01
15.0000,3.7961e+01,2.1410e-28,9.9992e+01
