x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.9540e+01,2.3164e-28,9.9992e+01
-14.2500,3.9493e+01,5.0296e-28,9.9975e+01
-13.5000,3.8719e+01,6.5429e-28,9.9917e+01
-12.7500,3.7074e+01,1.0962e-27,9.9726e+01
-12.0000,3.4177e+01,2.7290e-27,9.9101e+01
-11.2500,2.9550e+01,1.1926e-26,9.7134e+01
-10.5000,2.2712e+01,9.6292e-26,9.1601e+01
-9.7500,1.4306e+01,1.2136e-24,7.9934e+01
-9.0000,7.3695e+00,1.8244e-23,6.5501e+01
-8.2500,3.6388e+00,2.0618e-22,5.5960e+01
-7.5000,2.4777e+00,1.1965e-21,5.1958e+01
-6.7500,2.1711e+00,3.7411e-21,5.0606e+01
-6.0000,1.9225e+00,8.4133e-21,5.0184e+01
-5.2500,1.7967e+00,1.4856e-20,5.0056e+01
-4.5000,1.7514e+00,2.2537e-20,5.0017e+01
-3.7500,1.7660e+00,3.1180e-20,5.0005e+01
-3.0000,1.8682e+00,4.0427e-20,5.0002e+01
-2.2500,1.8864e+00,4.7950e-20,5.0000e+01
-1.5000,1.7940e+00,5.2120e-20,5.0000e+01
-0.7500,1.7600e+00,5.5706e-20,5.0000e+01
0.0000,1.7624e+00,5.1516e-20,5.0000e+01
0.7500,1.7569e+00,5.3886e-20,5.0000e+01
1.5000,1.7698e+00,4.8519e-20,5.0000e+01
2.2500,1.7887e+00,4.2944e-20,5.0000e+01
3.0000,1.7749e+00,3.6216e-20,5.0002e+01
3.7500,1.7437e+00,2.8624e-20,5.0005e+01
4.5000,1.7456e+00,2.1135e-20,5.0017e+01
5.2500,1.7961e+00,1.4135e-20,5.0056e+01
6.0000,1.9210e+00,8.0694e-21,5.0184e+01
6.7500,2.1692e+00,3.6039e-21,5.0606e+01
7.5000,2.4771e+00,1.1550e-21,5.1958e+01
8.2500,3.6390e+00,1.9913e-22,5.5960e+01
9.0000,7.3693e+00,1.7615e-23,6.5501e+01
9.7500,1.4307e+01,1.1709e-24,7.9934e+01
10.5000,2.2713e+01,9.2834e-26,9.1601e+01
11.2500,2.9550e+01,1.1492e-26,9.7134e+01
12.0000,3.4176e+01,2.6290e-27,9.9101e+01
12.7500,3.7073e+01,1.0559e-27,9.9726e+01
13.5000,3.8719e+01,6.3023e-28,9.9917e+01
14.2500,3.9494e+01,4.8452e-28,9.9975e+01
15.0000,3.9537e+01,2.2308e-28,9.9992e+01
