gid,x,y,z
184,-15,1.42857,2.14286
185,-15,1.42857,2.5
186,-15,1.42857,3.5
187,-15,2.14286,-3.5
188,-15,2.14286,-2.5
189,-15,2.14286,-2.14286
190,-15,2.14286,-1.78571
191,-15,2.14286,-1.42857
192,-15,2.14286,-1.07143
193,-15,2.14286,-0.714286
194,-15,2.14286,-0.357143
195,-15,2.14286,-0
196,-15,2.14286,0.357143
197,-15,2.14286,0.714286
198,-15,2.14286,1.07143
199,-15,2.14286,1.42857
200,-15,2.14286,1.78571
201,-15,2.14286,2.14286
202,-15,2.14286,2.5
203,-15,2.14286,3.5
204,-15,2.85714,-3.5
205,-15,2.85714,-2.5
206,-15,2.85714,-2.14286
207,-15,2.85714,-1.78571
208,-15,2.85714,-1.42857
209,-15,2.85714,-1.07143
210,-15,2.85714,-0.714286
211,-15,2.85714,-0.357143
212,-15,2.85714,-0
213,-15,2.85714,0.357143
214,-15,2.85714,0.714286
215,-15,2.85714,1.07143
216,-15,2.85714,1.42857
217,-15,2.85714,1.78571
218,-15,2.85714,2.14286
219,-15,2.85714,2.5
220,-15,2.85714,3.5
221,-15,3.57143,-3.5
222,-15,3.57143,-2.5
223,-15,3.57143,-2.14286
224,-15,3.57143,-1.78571
225,-15,3.57143,-1.42857
226,-15,3.57143,-1.07143
227,-15,3.57143,-0.714286
228,-15,3.57143,-0.357143
229,-15,3.57143,-0
230,-15,3.57143,0.357143
231,-15,3.57143,0.714286
232,-15,3.57143,1.07143
233,-15,3.57143,1.42857
234,-15,3.57143,1.78571
235,-15,3.57143,2.14286
236,-15,3.57143,2.5
237,-15,3.57143,3.5
238,-15,4.28571,-3.5
239,-15,4.28571,-2.5
240,-15,4.28571,-2.14286
241,-15,4.28571,-1.78571
242,-15,4.28571,-1.42857
243,-15,4.28571,-1.07143
244,-15,4.28571,-0.714286
245,-15,4.28571,-0.357143
246,-15,4.28571,-0
247,-15,4.28571,0.357143
248,-15,4.28571,0.714286
249,-15,4.28571,1.07143
250,-15,4.28571,1.42857
251,-15,4.28571,1.78571
252,-15,4.28571,2.14286
253,-15,4.28571,2.5
254,-15,4.28571,3.5
255,-15,5,-3.5
256,-15,5,-2.5
257,-15,5,-2.14286
258,-15,5,-1.78571
259,-15,5,-1.42857
260,-15,5,-1.07143
261,-15,5,-0.714286
262,-15,5,-0.357143
263,-15,5,-0
264,-15,5,0.357143
265,-15,5,0.714286
266,-15,5,1.07143
267,-15,5,1.42857
268,-15,5,1.78571
269,-15,5,2.14286
270,-15,5,2.5
271,-15,5,3.5
272,-15,6,-3.5
273,-15,6,-2.5
274,-15,6,-2.14286
275,-15,6,-1.78571
276,-15,6,-1.42857
277,-15,6,-1.07143
278,-15,6,-0.714286
279,-15,6,-0.357143
280,-15,6,-0
281,-15,6,0.357143
282,-15,6,0.714286
283,-15,6,1.07143
284,-15,6,1.42857
285,-15,6,1.78571
286,-15,6,2.14286
287,-15,6,2.5
288,-15,6,3.5
289,-13.5,-6,-3.5
290,-13.5,-6,-2.5
291,-13.5,-6,-2.14286
292,-13.5,-6,-1.78571
293,-13.5,-6,-1.42857
294,-13.5,-6,-1.07143
295,-13.5,-6,-0.714286
296,-13.5,-6,-0.357143
297,-13.5,-6,-0
298,-13.5,-6,0.357143
299,-13.5,-6,0.714286
300,-13.5,-6,1.07143
301,-13.5,-6,1.42857
302,-13.5,-6,1.78571
303,-13.5,-6,2.14286
304,-13.5,-6,2.5
305,-13.5,-6,3.5
306,-13.5,-5,-3.5
307,-13.5,-5,-2.5
308,-13.5,-5,-2.14286
309,-13.5,-5,-1.78571
