x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7972e+01,2.2229e-28,9.9992e+01
-14.2500,3.7840e+01,4.7938e-28,9.9975e+01
-13.5000,3.7052e+01,6.2233e-28,9.9917e+01
-12.7500,3.5435e+01,1.0435e-27,9.9726e+01
-12.0000,3.2606e+01,2.6003e-27,9.9101e+01
-11.2500,2.8104e+01,1.1284e-26,9.7134e+01
-10.5000,2.1537e+01,9.0319e-26,9.1601e+01
-9.7500,1.3575e+01,1.1521e-24,7.9934e+01
-9.0000,7.0328e+00,1.7002e-23,6.5501e+01
-8.2500,3.4605e+00,1.8787e-22,5.5960e+01
-7.5000,2.3314e+00,1.1016e-21,5.1958e+01
-6.7500,2.0137e+00,3.4393e-21,5.0606e+01
-6.0000,1.7537e+00,7.6155e-21,5.0184e+01
-5.2500,1.6145e+00,1.3200e-20,5.0056e+01
-4.5000,1.5474e+00,1.9677e-20,5.0017e+01
-3.7500,1.5341e+00,2.6908e-20,5.0005e+01
-3.0000,1.5881e+00,3.4901e-20,5.0002e+01
-2.2500,1.6223e+00,4.2227e-20,5.0000e+01
-1.5000,1.5635e+00,4.6471e-20,5.0000e+01
-0.7500,1.5271e+00,4.9616e-20,5.0000e+01
0.0000,1.5356e+00,4.5103e-20,5.0000e+01
0.7500,1.5231e+00,4.6567e-20,5.0000e+01
1.5000,1.5224e+00,4.0791e-20,5.0000e+01
2.2500,1.5226e+00,3.5231e-20,5.0000e+01
3.0000,1.5213e+00,2.9631e-20,5.0002e+01
3.7500,1.5241e+00,2.3908e-20,5.0005e+01
4.5000,1.5507e+00,1.8133e-20,5.0017e+01
5.2500,1.6168e+00,1.2448e-20,5.0056e+01
6.0000,1.7554e+00,7.2807e-21,5.0184e+01
6.7500,2.0154e+00,3.3119e-21,5.0606e+01
7.5000,2.3312e+00,1.0638e-21,5.1958e+01
8.2500,3.4618e+00,1.8165e-22,5.5960e+01
9.0000,7.0316e+00,1.6427e-23,6.5501e+01
9.7500,1.3572e+01,1.1117e-24,7.9934e+01
10.5000,2.1536e+01,8.7102e-26,9.1601e+01
11.2500,2.8103e+01,1.0879e-26,9.7134e+01
12.0000,3.2604e+01,2.5062e-27,9.9101e+01
12.7500,3.5434e+01,1.0054e-27,9.9726e+01
13.5000,3.7052e+01,5.9956e-28,9.9917e+01
14.2500,3.7840e+01,4.6178e-28,9.9975e+01
15.0000,3.7969e+01,2.1408e-28,9.9992e+01
