x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7964e+01,2.2230e-28,9.9992e+01
-14.2500,3.7832e+01,4.7942e-28,9.9975e+01
-13.5000,3.7044e+01,6.2250e-28,9.9917e+01
-12.7500,3.5426e+01,1.0440e-27,9.9726e+01
-12.0000,3.2598e+01,2.6031e-27,9.9101e+01
-11.2500,2.8097e+01,1.1304e-26,9.7134e+01
-10.5000,2.1532e+01,9.0610e-26,9.1601e+01
-9.7500,1.3574e+01,1.1593e-24,7.9934e+01
-9.0000,7.0400e+00,1.7179e-23,6.5501e+01
-8.2500,3.4761e+00,1.9055e-22,5.5960e+01
-7.5000,2.3533e+00,1.1209e-21,5.1958e+01
-6.7500,2.0438e+00,3.5060e-21,5.0606e+01
-6.0000,1.7894e+00,7.7495e-21,5.0184e+01
-5.2500,1.6561e+00,1.3349e-20,5.0056e+01
-4.5000,1.5936e+00,1.9681e-20,5.0017e+01
-3.7500,1.5764e+00,2.6476e-20,5.0005e+01
-3.0000,1.5931e+00,3.3819e-20,5.0002e+01
-2.2500,1.6616e+00,4.1658e-20,5.0000e+01
-1.5000,1.6159e+00,4.6628e-20,5.0000e+01
-0.7500,1.5841e+00,4.9976e-20,5.0000e+01
0.0000,1.5933e+00,4.5304e-20,5.0000e+01
0.7500,1.5785e+00,4.6434e-20,5.0000e+01
1.5000,1.5733e+00,4.0280e-20,5.0000e+01
2.2500,1.5696e+00,3.4629e-20,5.0000e+01
3.0000,1.5689e+00,2.9291e-20,5.0002e+01
3.7500,1.5739e+00,2.3919e-20,5.0005e+01
4.5000,1.5974e+00,1.8344e-20,5.0017e+01
5.2500,1.6602e+00,1.2690e-20,5.0056e+01
6.0000,1.7909e+00,7.4416e-21,5.0184e+01
6.7500,2.0429e+00,3.3818e-21,5.0606e+01
7.5000,2.3524e+00,1.0832e-21,5.1958e+01
8.2500,3.4769e+00,1.8424e-22,5.5960e+01
9.0000,7.0390e+00,1.6596e-23,6.5501e+01
9.7500,1.3572e+01,1.1185e-24,7.9934e+01
10.5000,2.1531e+01,8.7375e-26,9.1601e+01
11.2500,2.8097e+01,1.0898e-26,9.7134e+01
12.0000,3.2596e+01,2.5089e-27,9.9101e+01
12.7500,3.5426e+01,1.0060e-27,9.9726e+01
13.5000,3.7043e+01,5.9973e-28,9.9917e+01
14.2500,3.7831e+01,4.6186e-28,9.9975e+01
15.0000,3.7961e+01,2.1410e-28,9.9992e+01
