x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7964e+01,2.2235e-28,9.9992e+01
-14.2500,3.7832e+01,4.7952e-28,9.9975e+01
-13.5000,3.7044e+01,6.2263e-28,9.9917e+01
-12.7500,3.5428e+01,1.0442e-27,9.9726e+01
-12.0000,3.2601e+01,2.6028e-27,9.9101e+01
-11.2500,2.8105e+01,1.1294e-26,9.7134e+01
-10.5000,2.1547e+01,9.0309e-26,9.1601e+01
-9.7500,1.3598e+01,1.1479e-24,7.9934e+01
-9.0000,7.0705e+00,1.6788e-23,6.5501e+01
-8.2500,3.5140e+00,1.8284e-22,5.5960e+01
-7.5000,2.3881e+00,1.0536e-21,5.1958e+01
-6.7500,2.0814e+00,3.2389e-21,5.0606e+01
-6.0000,1.8258e+00,7.0753e-21,5.0184e+01
-5.2500,1.6856e+00,1.2144e-20,5.0056e+01
-4.5000,1.6098e+00,1.8067e-20,5.0017e+01
-3.7500,1.5761e+00,2.5090e-20,5.0005e+01
-3.0000,1.6059e+00,3.4041e-20,5.0002e+01
-2.2500,1.7089e+00,4.3621e-20,5.0000e+01
-1.5000,1.6785e+00,4.8052e-20,5.0000e+01
-0.7500,1.5805e+00,4.7929e-20,5.0000e+01
0.0000,1.6009e+00,4.1540e-20,5.0000e+01
0.7500,1.5835e+00,4.1673e-20,5.0000e+01
1.5000,1.5774e+00,3.5770e-20,5.0000e+01
2.2500,1.5739e+00,3.0510e-20,5.0000e+01
3.0000,1.5797e+00,2.5563e-20,5.0002e+01
3.7500,1.5942e+00,2.0801e-20,5.0005e+01
4.5000,1.6277e+00,1.6042e-20,5.0017e+01
5.2500,1.7001e+00,1.1208e-20,5.0056e+01
6.0000,1.8345e+00,6.6927e-21,5.0184e+01
6.7500,2.0848e+00,3.1089e-21,5.0606e+01
7.5000,2.3896e+00,1.0163e-21,5.1958e+01
8.2500,3.5120e+00,1.7655e-22,5.5960e+01
9.0000,7.0703e+00,1.6211e-23,6.5501e+01
9.7500,1.3596e+01,1.1074e-24,7.9934e+01
10.5000,2.1546e+01,8.7096e-26,9.1601e+01
11.2500,2.8105e+01,1.0888e-26,9.7134e+01
12.0000,3.2600e+01,2.5086e-27,9.9101e+01
12.7500,3.5428e+01,1.0061e-27,9.9726e+01
13.5000,3.7044e+01,5.9983e-28,9.9917e+01
14.2500,3.7832e+01,4.6192e-28,9.9975e+01
15.0000,3.7962e+01,2.1413e-28,9.9992e+01
