x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.8118e+01,2.2298e-28,9.9992e+01
-14.2500,3.7998e+01,4.8121e-28,9.9975e+01
-13.5000,3.7214e+01,6.2486e-28,9.9917e+01
-12.7500,3.5595e+01,1.0475e-27,9.9726e+01
-12.0000,3.2757e+01,2.6116e-27,9.9101e+01
-11.2500,2.8243e+01,1.1357e-26,9.7134e+01
-10.5000,2.1657e+01,9.1119e-26,9.1601e+01
-9.7500,1.3661e+01,1.1612e-24,7.9934e+01
-9.0000,7.0802e+00,1.7204e-23,6.5501e+01
-8.2500,3.4956e+00,1.9147e-22,5.5960e+01
-7.5000,2.3625e+00,1.1235e-21,5.1958e+01
-6.7500,2.0510e+00,3.5152e-21,5.0606e+01
-6.0000,1.7931e+00,7.8036e-21,5.0184e+01
-5.2500,1.6557e+00,1.3554e-20,5.0056e+01
-4.5000,1.5905e+00,2.0232e-20,5.0017e+01
-3.7500,1.5773e+00,2.7646e-20,5.0005e+01
-3.0000,1.6194e+00,3.5651e-20,5.0002e+01
-2.2500,1.6618e+00,4.2654e-20,5.0000e+01
-1.5000,1.6008e+00,4.6745e-20,5.0000e+01
-0.7500,1.5813e+00,5.0154e-20,5.0000e+01
0.0000,1.5939e+00,4.6029e-20,5.0000e+01
0.7500,1.5780e+00,4.7933e-20,5.0000e+01
1.5000,1.5764e+00,4.2514e-20,5.0000e+01
2.2500,1.5770e+00,3.7107e-20,5.0000e+01
3.0000,1.5701e+00,3.1253e-20,5.0002e+01
3.7500,1.5688e+00,2.5052e-20,5.0005e+01
4.5000,1.5935e+00,1.8854e-20,5.0017e+01
5.2500,1.6594e+00,1.2863e-20,5.0056e+01
6.0000,1.7945e+00,7.4817e-21,5.0184e+01
6.7500,2.0497e+00,3.3862e-21,5.0606e+01
7.5000,2.3612e+00,1.0847e-21,5.1958e+01
8.2500,3.4939e+00,1.8498e-22,5.5960e+01
9.0000,7.0797e+00,1.6614e-23,6.5501e+01
9.7500,1.3659e+01,1.1202e-24,7.9934e+01
10.5000,2.1655e+01,8.7833e-26,9.1601e+01
11.2500,2.8239e+01,1.0941e-26,9.7134e+01
12.0000,3.2756e+01,2.5154e-27,9.9101e+01
12.7500,3.5592e+01,1.0087e-27,9.9726e+01
13.5000,3.7212e+01,6.0174e-28,9.9917e+01
14.2500,3.7999e+01,4.6354e-28,9.9975e+01
15.0000,3.8120e+01,2.1481e-28,9.9992e+01
