x_nm,eps_0_eV,eps_1_eV,eps_2_eV,eps_3_eV,eps_4_eV,eps_5_eV,eps_6_eV,eps_7_eV,eps_8_eV,eps_9_eV,eps_10_eV,eps_11_eV,eps_12_eV,eps_13_eV,eps_14_eV,eps_15_eV,eps_16_eV,eps_17_eV,eps_18_eV,eps_19_eV,eps_20_eV,eps_21_eV,eps_22_eV,eps_23_eV,eps_24_eV,eps_25_eV,eps_26_eV,eps_27_eV,eps_28_eV,eps_29_eV,eps_30_eV,eps_31_eV,eps_32_eV,eps_33_eV,eps_34_eV,eps_35_eV,eps_36_eV,eps_37_eV,eps_38_eV,eps_39_eV
-7.5000,-8.4367e-02,-4.1138e-02,4.4256e-02,9.9560e-02,1.4320e-01,1.6001e-01,2.2863e-01,2.8226e-01,3.4412e-01,4.0643e-01,4.6623e-01,4.7304e-01,5.1529e-01,5.1595e-01,5.9073e-01,6.0178e-01,6.1143e-01,6.8122e-01,6.9971e-01,7.1694e-01,7.9553e-01,8.3930e-01,8.6498e-01,9.6349e-01,9.7451e-01,1.0175e+00,1.0728e+00,1.1031e+00,1.1685e+00,1.2184e+00,1.2387e+00,1.3405e+00,1.4649e+00,1.5741e+00,1.6154e+00,1.6584e+00,1.6701e+00,1.7402e+00,1.7440e+00,1.8593e+00
-6.7500,-6.3581e-02,-2.8281e-02,5.9136e-02,1.2671e-01,1.6324e-01,1.7423e-01,2.5020e-01,2.9607e-01,3.6504e-01,4.1950e-01,4.8685e-01,5.2067e-01,5.2947e-01,5.5634e-01,6.1076e-01,6.2880e-01,6.4374e-01,7.0626e-01,7.2078e-01,7.5833e-01,8.1945e-01,8.8027e-01,8.9572e-01,1.0039e+00,1.0493e+00,1.0852e+00,1.1142e+00,1.1723e+00,1.2131e+00,1.2870e+00,1.2903e+00,1.4089e+00,1.5327e+00,1.6429e+00,1.7247e+00,1.7419e+00,1.7606e+00,1.8187e+00,1.8478e+00,1.9625e+00
-6.0000,-4.7514e-02,-1.5708e-02,7.4848e-02,1.4604e-01,1.7927e-01,1.8897e-01,2.6910e-01,3.1095e-01,3.8304e-01,4.3358e-01,5.0512e-01,5.4365e-01,5.4686e-01,5.7911e-01,6.2819e-01,6.4331e-01,6.6930e-01,7.2522e-01,7.3844e-01,7.8308e-01,8.3711e-01,9.0513e-01,9.1755e-01,1.0281e+00,1.0843e+00,1.1170e+00,1.1385e+00,1.2068e+00,1.2377e+00,1.3190e+00,1.3207e+00,1.4427e+00,1.5658e+00,1.6762e+00,1.7711e+00,1.7753e+00,1.8037e+00,1.8562e+00,1.8937e+00,2.0075e+00
-5.2500,-3.7356e-02,-7.9017e-03,8.5438e-02,1.5698e-01,1.8777e-01,1.9831e-01,2.8032e-01,3.2059e-01,3.9307e-01,4.4256e-01,5.1552e-01,5.5303e-01,5.5986e-01,5.8982e-01,6.3785e-01,6.5246e-01,6.8265e-01,7.3786e-01,7.4844e-01,7.9532e-01,8.4687e-01,9.1764e-01,9.3084e-01,1.0399e+00,1.1001e+00,1.1304e+00,1.1507e+00,1.2229e+00,1.2497e+00,1.3344e+00,1.3357e+00,1.4580e+00,1.5804e+00,1.6911e+00,1.7901e+00,1.7904e+00,1.8206e+00,1.8743e+00,1.9132e+00,2.0259e+00
-4.5000,-3.0421e-02,-2.6614e-03,9.3117e-02,1.6387e-01,1.9276e-01,2.0467e-01,2.8788e-01,3.2736e-01,3.9930e-01,4.4871e-01,5.2222e-01,5.5961e-01,5.6746e-01,5.9565e-01,6.4383e-01,6.5865e-01,6.9093e-01,7.4694e-01,7.5485e-01,8.0235e-01,8.5285e-01,9.2507e-01,9.3995e-01,1.0467e+00,1.1085e+00,1.1370e+00,1.1578e+00,1.2320e+00,1.2565e+00,1.3435e+00,1.3442e+00,1.4662e+00,1.5880e+00,1.6991e+00,1.7977e+00,1.7999e+00,1.8283e+00,1.8849e+00,1.9234e+00,2.0348e+00
-3.7500,-2.5061e-02,1.3770e-03,9.9342e-02,1.6878e-01,1.9608e-01,2.0954e-01,2.9367e-01,3.3275e-01,4.0365e-01,4.5348e-01,5.2712e-01,5.6487e-01,5.7271e-01,5.9945e-01,6.4803e-01,6.6341e-01,6.9705e-01,7.5423e-01,7.5952e-01,8.0714e-01,8.5699e-01,9.3034e-01,9.4703e-01,1.0513e+00,1.1140e+00,1.1410e+00,1.1629e+00,1.2383e+00,1.2611e+00,1.3485e+00,1.3515e+00,1.4717e+00,1.5928e+00,1.7043e+00,1.8024e+00,1.8056e+00,1.8326e+00,1.8924e+00,1.9300e+00,2.0401e+00
-3.0000,-2.0407e-02,4.8858e-03,1.0493e-01,1.7262e-01,1.9847e-01,2.1372e-01,2.9859e-01,3.3752e-01,4.0698e-01,4.5760e-01,5.3110e-01,5.6956e-01,5.7687e-01,6.0231e-01,6.5126e-01,6.6754e-01,7.0219e-01,7.6077e-01,7.6330e-01,8.1086e-01,8.6015e-01,9.3464e-01,9.5315e-01,1.0550e+00,1.1182e+00,1.1439e+00,1.1670e+00,1.2435e+00,1.2647e+00,1.3522e+00,1.3578e+00,1.4760e+00,1.5964e+00,1.7085e+00,1.8060e+00,1.8099e+00,1.8355e+00,1.8987e+00,1.9353e+00,2.0439e+00
-2.2500,-1.7515e-02,6.6004e-03,1.0898e-01,1.7472e-01,1.9910e-01,2.1616e-01,3.0205e-01,3.4066e-01,4.0863e-01,4.6000e-01,5.3349e-01,5.7258e-01,5.7925e-01,6.0338e-01,6.5282e-01,6.6990e-01,7.0578e-01,7.6545e-01,7.6585e-01,8.1285e-01,8.6162e-01,9.3727e-01,9.5794e-01,1.0568e+00,1.1205e+00,1.1449e+00,1.1694e+00,1.2471e+00,1.2666e+00,1.3541e+00,1.3625e+00,1.4786e+00,1.5983e+00,1.7109e+00,1.8078e+00,1.8123e+00,1.8366e+00,1.9035e+00,1.9389e+00,2.0459e+00
-1.5000,-1.8505e-02,4.3024e-03,1.0961e-01,1.7359e-01,1.9637e-01,2.1488e-01,3.0279e-01,3.4016e-01,4.0719e-01,4.5868e-01,5.3292e-01,5.7182e-01,5.7821e-01,6.0097e-01,6.5127e-01,6.6834e-01,7.0637e-01,7.6447e-01,7.6764e-01,8.1158e-01,8.5987e-01,9.3673e-01,9.6023e-01,1.0555e+00,1.1195e+00,1.1424e+00,1.1685e+00,1.2478e+00,1.2650e+00,1.3528e+00,1.3644e+00,1.4781e+00,1.5969e+00,1.7100e+00,1.8062e+00,1.8112e+00,1.8341e+00,1.9056e+00,1.9396e+00,2.0446e+00
-0.7500,-2.2024e-02,-7.1257e-04,1.0820e-01,1.7051e-01,1.9141e-01,2.1121e-01,3.0219e-01,3.3735e-01,4.0395e-01,4.5493e-01,5.3067e-01,5.6858e-01,5.7523e-01,5.9647e-01,6.4785e-01,6.6432e-01,7.0541e-01,7.6161e-01,7.6775e-01,8.0847e-01,8.5631e-01,9.3442e-01,9.6176e-01,1.0522e+00,1.1165e+00,1.1377e+00,1.1657e+00,1.2470e+00,1.2616e+00,1.3497e+00,1.3650e+00,1.4758e+00,1.5935e+00,1.7072e+00,1.8027e+00,1.8082e+00,1.8294e+00,1.9065e+00,1.9387e+00,2.0414e+00
