x_nm,eps_0_eV,eps_1_eV,eps_2_eV,eps_3_eV,eps_4_eV,eps_5_eV,eps_6_eV,eps_7_eV,eps_8_eV,eps_9_eV,eps_10_eV,eps_11_eV,eps_12_eV,eps_13_eV,eps_14_eV,eps_15_eV,eps_16_eV,eps_17_eV,eps_18_eV,eps_19_eV,eps_20_eV,eps_21_eV,eps_22_eV,eps_23_eV,eps_24_eV,eps_25_eV,eps_26_eV,eps_27_eV,eps_28_eV,eps_29_eV,eps_30_eV,eps_31_eV,eps_32_eV,eps_33_eV,eps_34_eV,eps_35_eV,eps_36_eV,eps_37_eV,eps_38_eV,eps_39_eV
7.5000,-8.5253e-02,-4.2006e-02,4.3405e-02,9.8695e-02,1.4234e-01,1.5913e-01,2.2781e-01,2.8141e-01,3.4326e-01,4.0556e-01,4.6539e-01,4.7217e-01,5.1444e-01,5.1509e-01,5.8988e-01,6.0095e-01,6.1055e-01,6.8032e-01,6.9889e-01,7.1607e-01,7.9466e-01,8.3846e-01,8.6411e-01,9.6263e-01,9.7364e-01,1.0167e+00,1.0720e+00,1.1022e+00,1.1676e+00,1.2175e+00,1.2379e+00,1.3397e+00,1.4641e+00,1.5733e+00,1.6145e+00,1.6576e+00,1.6693e+00,1.7393e+00,1.7432e+00,1.8584e+00
8.2500,-1.3407e-01,-8.5289e-02,-4.3070e-04,2.4410e-02,7.3054e-02,1.1478e-01,1.5821e-01,2.3722e-01,2.7335e-01,3.4590e-01,3.6197e-01,3.9387e-01,3.9563e-01,4.7100e-01,4.7948e-01,5.2058e-01,5.6525e-01,5.9420e-01,6.2959e-01,6.2979e-01,7.1683e-01,7.2355e-01,7.7865e-01,7.8830e-01,8.2684e-01,8.4141e-01,9.1205e-01,9.5080e-01,1.0270e+00,1.0445e+00,1.1099e+00,1.1494e+00,1.2742e+00,1.3309e+00,1.3791e+00,1.3834e+00,1.4644e+00,1.4775e+00,1.5426e+00,1.5793e+00
9.0000,-2.0901e-01,-1.5728e-01,-9.5795e-02,-7.1607e-02,-4.4499e-02,4.1212e-02,4.2358e-02,1.3673e-01,1.5542e-01,1.6495e-01,1.8762e-01,2.7402e-01,2.7784e-01,2.8999e-01,3.8778e-01,3.9990e-01,4.0300e-01,4.5379e-01,4.9236e-01,5.0482e-01,5.1058e-01,5.1267e-01,5.5426e-01,5.9076e-01,6.0522e-01,6.3539e-01,6.6755e-01,7.0480e-01,7.4541e-01,8.2735e-01,8.3731e-01,8.5659e-01,9.0013e-01,9.0759e-01,9.5239e-01,9.9367e-01,1.0622e+00,1.1076e+00,1.1546e+00,1.2172e+00
9.7500,-2.9533e-01,-2.4283e-01,-2.2382e-01,-1.7179e-01,-1.5564e-01,-8.4750e-02,-6.8273e-02,-4.2769e-02,-1.6268e-02,2.8379e-02,7.1097e-02,7.9886e-02,1.4431e-01,1.5095e-01,1.8416e-01,1.9628e-01,2.0508e-01,2.7616e-01,2.8362e-01,3.0692e-01,3.1583e-01,3.8667e-01,3.9669e-01,4.0645e-01,4.1520e-01,4.3196e-01,4.6717e-01,4.6781e-01,4.7759e-01,5.1936e-01,5.3938e-01,5.4249e-01,5.5449e-01,6.3305e-01,6.4447e-01,6.6754e-01,6.9493e-01,7.4102e-01,7.5501e-01,7.9023e-01
10.5000,-3.6930e-01,-3.1623e-01,-3.1622e-01,-2.6373e-01,-2.2794e-01,-1.9809e-01,-1.7562e-01,-1.4514e-01,-1.1580e-01,-6.3216e-02,-5.6878e-02,-3.6889e-02,7.0407e-03,1.5694e-02,5.5429e-02,5.9555e-02,1.0404e-01,1.3206e-01,1.6940e-01,1.7839e-01,1.8464e-01,2.1645e-01,2.2216e-01,2.4349e-01,2.9576e-01,3.0326e-01,3.1049e-01,3.3293e-01,3.3936e-01,3.8546e-01,3.9374e-01,4.1454e-01,4.1789e-01,4.2284e-01,4.4690e-01,4.6428e-01,4.7057e-01,5.0402e-01,5.4575e-01,5.5884e-01
11.2500,-4.2414e-01,-3.7469e-01,-3.6993e-01,-3.2104e-01,-2.8148e-01,-2.7105e-01,-2.3264e-01,-2.1700e-01,-1.6974e-01,-1.2842e-01,-1.2687e-01,-1.2068e-01,-7.3044e-02,-4.6272e-02,-1.6518e-02,2.6066e-03,1.5404e-02,5.5392e-02,7.8124e-02,1.0675e-01,1.0932e-01,1.2707e-01,1.2755e-01,1.9001e-01,1.9799e-01,2.3135e-01,2.3878e-01,2.5087e-01,2.7726e-01,2.7909e-01,3.0995e-01,3.2800e-01,3.3113e-01,3.3872e-01,3.4310e-01,3.7528e-01,3.8830e-01,4.1966e-01,4.3203e-01,4.3330e-01
12.0000,-4.6178e-01,-4.1187e-01,-4.0691e-01,-3.5734e-01,-3.1842e-01,-3.1333e-01,-2.6890e-01,-2.5852e-01,-2.0695e-01,-1.7431e-01,-1.6991e-01,-1.5722e-01,-1.1956e-01,-8.2918e-02,-5.8141e-02,-3.3457e-02,-3.1025e-02,3.0348e-04,4.0901e-02,5.5021e-02,6.5337e-02,8.0612e-02,9.0646e-02,1.4371e-01,1.5307e-01,1.8973e-01,2.0249e-01,2.0461e-01,2.1367e-01,2.4206e-01,2.5550e-01,2.6841e-01,2.9166e-01,3.0092e-01,3.0175e-01,3.2848e-01,3.5105e-01,3.5700e-01,3.7923e-01,3.9045e-01
12.7500,-4.8516e-01,-4.3461e-01,-4.3006e-01,-3.7954e-01,-3.4164e-01,-3.3789e-01,-2.9123e-01,-2.8257e-01,-2.3030e-01,-2.0041e-01,-1.9411e-01,-1.7966e-01,-1.4509e-01,-1.0591e-01,-8.2346e-02,-5.7035e-02,-5.5180e-02,-2.7957e-02,1.7541e-02,2.7246e-02,4.1237e-02,5.4835e-02,6.8196e-02,1.1576e-01,1.2984e-01,1.6552e-01,1.7870e-01,1.8058e-01,1.8254e-01,2.1888e-01,2.2753e-01,2.3785e-01,2.6943e-01,2.7735e-01,2.7774e-01,3.0270e-01,3.2632e-01,3.2828e-01,3.5146e-01,3.6638e-01
13.5000,-4.9842e-01,-4.4758e-01,-4.4317e-01,-3.9198e-01,-3.5498e-01,-3.5147e-01,-3.0395e-01,-2.9569e-01,-2.4355e-01,-2.1455e-01,-2.0753e-01,-1.9233e-01,-1.5870e-01,-1.1901e-01,-9.5648e-02,-7.0966e-02,-6.7667e-02,-4.2626e-02,4.2764e-03,1.3083e-02,2.7912e-02,4.1011e-02,5.5530e-02,1.0127e-01,1.1656e-01,1.5222e-01,1.6482e-01,1.6685e-01,1.6799e-01,2.0577e-01,2.1316e-01,2.2270e-01,2.5697e-01,2.6374e-01,2.6466e-01,2.8888e-01,3.1091e-01,3.1530e-01,3.3711e-01,3.5326e-01
14.2500,-5.0508e-01,-4.5407e-01,-4.4951e-01,-3.9767e-01,-3.6175e-01,-3.5806e-01,-3.1009e-01,-3.0164e-01,-2.5001e-01,-2.2152e-01,-2.1394e-01,-1.9825e-01,-1.6486e-01,-1.2548e-01,-1.0182e-01,-7.7784e-02,-7.3449e-02,-4.9704e-02,-2.1840e-03,6.7839e-03,2.1568e-02,3.4606e-02,4.9642e-02,9.4559e-02,1.0999e-01,1.4604e-01,1.5800e-01,1.5943e-01,1.6216e-01,1.9944e-01,2.0665e-01,2.1605e-01,2.5126e-01,2.5677e-01,2.5857e-01,2.8250e-01,3.0388e-01,3.0878e-01,3.3048e-01,3.4729e-01
15.0000,-5.0708e-01,-4.5576e-01,-4.5081e-01,-3.9786e-01,-3.6392e-01,-3.5934e-01,-3.1099e-01,-3.0190e-01,-2.5138e-01,-2.2342e-01,-2.1482e-01,-1.9871e-01,-1.6526e-01,-1.2700e-01,-1.0234e-01,-7.9300e-02,-7.3716e-02,-5.1692e-02,-3.5507e-03,6.2216e-03,2.0724e-02,3.3897e-02,4.9276e-02,9.3535e-02,1.0839e-01,1.4551e-01,1.5640e-01,1.5740e-01,1.6192e-01,1.9814e-01,2.0591e-01,2.1531e-01,2.5100e-01,2.5445e-01,2.5798e-01,2.8189e-01,3.0271e-01,3.0709e-01,3.2949e-01,3.4702e-01
