x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.8417e+01,2.2447e-28,9.9992e+01
-14.2500,3.8315e+01,4.8506e-28,9.9975e+01
-13.5000,3.7531e+01,6.2975e-28,9.9917e+01
-12.7500,3.5903e+01,1.0546e-27,9.9726e+01
-12.0000,3.3047e+01,2.6251e-27,9.9101e+01
-11.2500,2.8498e+01,1.1414e-26,9.7134e+01
-10.5000,2.1849e+01,9.1454e-26,9.1601e+01
-9.7500,1.3753e+01,1.1543e-24,7.9934e+01
-9.0000,7.0789e+00,1.6985e-23,6.5501e+01
-8.2500,3.4398e+00,1.8757e-22,5.5960e+01
-7.5000,2.2897e+00,1.0827e-21,5.1958e+01
-6.7500,1.9626e+00,3.3462e-21,5.0606e+01
-6.0000,1.6884e+00,7.3719e-21,5.0184e+01
-5.2500,1.5411e+00,1.2728e-20,5.0056e+01
-4.5000,1.4682e+00,1.8895e-20,5.0017e+01
-3.7500,1.4523e+00,2.5661e-20,5.0005e+01
-3.0000,1.5021e+00,3.2836e-20,5.0002e+01
-2.2500,1.5251e+00,3.8823e-20,5.0000e+01
-1.5000,1.4590e+00,4.2343e-20,5.0000e+01
-0.7500,1.4449e+00,4.5418e-20,5.0000e+01
0.0000,1.4616e+00,4.1920e-20,5.0000e+01
0.7500,1.4434e+00,4.3783e-20,5.0000e+01
1.5000,1.4430e+00,3.9174e-20,5.0000e+01
2.2500,1.4481e+00,3.4519e-20,5.0000e+01
3.0000,1.4430e+00,2.9250e-20,5.0002e+01
3.7500,1.4412e+00,2.3486e-20,5.0005e+01
4.5000,1.4672e+00,1.7698e-20,5.0017e+01
5.2500,1.5422e+00,1.2110e-20,5.0056e+01
6.0000,1.6909e+00,7.0782e-21,5.0184e+01
6.7500,1.9619e+00,3.2273e-21,5.0606e+01
7.5000,2.2900e+00,1.0464e-21,5.1958e+01
8.2500,3.4413e+00,1.8138e-22,5.5960e+01
9.0000,7.0768e+00,1.6411e-23,6.5501e+01
9.7500,1.3751e+01,1.1141e-24,7.9934e+01
10.5000,2.1850e+01,8.8211e-26,9.1601e+01
11.2500,2.8497e+01,1.1004e-26,9.7134e+01
12.0000,3.3047e+01,2.5298e-27,9.9101e+01
12.7500,3.5902e+01,1.0160e-27,9.9726e+01
13.5000,3.7528e+01,6.0650e-28,9.9917e+01
14.2500,3.8313e+01,4.6713e-28,9.9975e+01
15.0000,3.8415e+01,2.1613e-28,9.9992e+01
