x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7964e+01,2.2228e-28,9.9992e+01
-14.2500,3.7832e+01,4.7935e-28,9.9975e+01
-13.5000,3.7045e+01,6.2232e-28,9.9917e+01
-12.7500,3.5427e+01,1.0434e-27,9.9726e+01
-12.0000,3.2599e+01,2.6002e-27,9.9101e+01
-11.2500,2.8098e+01,1.1281e-26,9.7134e+01
-10.5000,2.1532e+01,9.0261e-26,9.1601e+01
-9.7500,1.3571e+01,1.1511e-24,7.9934e+01
-9.0000,7.0297e+00,1.6968e-23,6.5501e+01
-8.2500,3.4559e+00,1.8713e-22,5.5960e+01
-7.5000,2.3235e+00,1.0962e-21,5.1958e+01
-6.7500,2.0036e+00,3.4219e-21,5.0606e+01
-6.0000,1.7399e+00,7.5746e-21,5.0184e+01
-5.2500,1.5962e+00,1.3128e-20,5.0056e+01
-4.5000,1.5218e+00,1.9586e-20,5.0017e+01
-3.7500,1.4930e+00,2.6867e-20,5.0005e+01
-3.0000,1.5116e+00,3.5200e-20,5.0002e+01
-2.2500,1.6025e+00,4.3763e-20,5.0000e+01
-1.5000,1.5280e+00,4.8527e-20,5.0000e+01
-0.7500,1.4983e+00,5.1071e-20,5.0000e+01
0.0000,1.5134e+00,4.5732e-20,5.0000e+01
0.7500,1.4962e+00,4.6651e-20,5.0000e+01
1.5000,1.4894e+00,4.0343e-20,5.0000e+01
2.2500,1.4866e+00,3.4526e-20,5.0000e+01
3.0000,1.4878e+00,2.8976e-20,5.0002e+01
3.7500,1.4980e+00,2.3468e-20,5.0005e+01
4.5000,1.5310e+00,1.7889e-20,5.0017e+01
5.2500,1.6020e+00,1.2327e-20,5.0056e+01
6.0000,1.7430e+00,7.2263e-21,5.0184e+01
6.7500,2.0058e+00,3.2919e-21,5.0606e+01
7.5000,2.3233e+00,1.0582e-21,5.1958e+01
8.2500,3.4572e+00,1.8095e-22,5.5960e+01
9.0000,7.0284e+00,1.6395e-23,6.5501e+01
9.7500,1.3568e+01,1.1106e-24,7.9934e+01
10.5000,2.1531e+01,8.7040e-26,9.1601e+01
11.2500,2.8097e+01,1.0875e-26,9.7134e+01
12.0000,3.2597e+01,2.5060e-27,9.9101e+01
12.7500,3.5427e+01,1.0054e-27,9.9726e+01
13.5000,3.7044e+01,5.9953e-28,9.9917e+01
14.2500,3.7832e+01,4.6176e-28,9.9975e+01
15.0000,3.7962e+01,2.1406e-28,9.9992e+01
