x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7985e+01,2.2234e-28,9.9992e+01
-14.2500,3.7854e+01,4.7954e-28,9.9975e+01
-13.5000,3.7066e+01,6.2260e-28,9.9917e+01
-12.7500,3.5449e+01,1.0441e-27,9.9726e+01
-12.0000,3.2619e+01,2.6029e-27,9.9101e+01
-11.2500,2.8116e+01,1.1306e-26,9.7134e+01
-10.5000,2.1550e+01,9.0632e-26,9.1601e+01
-9.7500,1.3589e+01,1.1588e-24,7.9934e+01
-9.0000,7.0470e+00,1.7180e-23,6.5501e+01
-8.2500,3.4795e+00,1.9108e-22,5.5960e+01
-7.5000,2.3535e+00,1.1277e-21,5.1958e+01
-6.7500,2.0422e+00,3.5438e-21,5.0606e+01
-6.0000,1.7849e+00,7.8933e-21,5.0184e+01
-5.2500,1.6513e+00,1.3764e-20,5.0056e+01
-4.5000,1.5887e+00,2.0642e-20,5.0017e+01
-3.7500,1.5784e+00,2.8387e-20,5.0005e+01
-3.0000,1.6319e+00,3.7002e-20,5.0002e+01
-2.2500,1.6994e+00,4.4897e-20,5.0000e+01
-1.5000,1.6203e+00,4.9371e-20,5.0000e+01
-0.7500,1.5855e+00,5.2772e-20,5.0000e+01
0.0000,1.5915e+00,4.8014e-20,5.0000e+01
0.7500,1.5790e+00,4.9655e-20,5.0000e+01
1.5000,1.5769e+00,4.3523e-20,5.0000e+01
2.2500,1.5764e+00,3.7569e-20,5.0000e+01
3.0000,1.5692e+00,3.1481e-20,5.0002e+01
3.7500,1.5687e+00,2.5253e-20,5.0005e+01
4.5000,1.5916e+00,1.9031e-20,5.0017e+01
5.2500,1.6546e+00,1.2983e-20,5.0056e+01
6.0000,1.7876e+00,7.5453e-21,5.0184e+01
6.7500,2.0416e+00,3.4099e-21,5.0606e+01
7.5000,2.3526e+00,1.0883e-21,5.1958e+01
8.2500,3.4793e+00,1.8466e-22,5.5960e+01
9.0000,7.0457e+00,1.6595e-23,6.5501e+01
9.7500,1.3586e+01,1.1181e-24,7.9934e+01
10.5000,2.1550e+01,8.7402e-26,9.1601e+01
11.2500,2.8117e+01,1.0900e-26,9.7134e+01
12.0000,3.2618e+01,2.5088e-27,9.9101e+01
12.7500,3.5449e+01,1.0060e-27,9.9726e+01
13.5000,3.7066e+01,5.9983e-28,9.9917e+01
14.2500,3.7853e+01,4.6195e-28,9.9975e+01
15.0000,3.7982e+01,2.1416e-28,9.9992e+01
