x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7965e+01,2.2230e-28,9.9992e+01
-14.2500,3.7833e+01,4.7941e-28,9.9975e+01
-13.5000,3.7045e+01,6.2245e-28,9.9917e+01
-12.7500,3.5428e+01,1.0439e-27,9.9726e+01
-12.0000,3.2600e+01,2.6026e-27,9.9101e+01
-11.2500,2.8100e+01,1.1302e-26,9.7134e+01
-10.5000,2.1536e+01,9.0597e-26,9.1601e+01
-9.7500,1.3579e+01,1.1590e-24,7.9934e+01
-9.0000,7.0437e+00,1.7179e-23,6.5501e+01
-8.2500,3.4799e+00,1.9081e-22,5.5960e+01
-7.5000,2.3550e+00,1.1257e-21,5.1958e+01
-6.7500,2.0444e+00,3.5351e-21,5.0606e+01
-6.0000,1.7880e+00,7.8653e-21,5.0184e+01
-5.2500,1.6533e+00,1.3698e-20,5.0056e+01
-4.5000,1.5897e+00,2.0515e-20,5.0017e+01
-3.7500,1.5775e+00,2.8196e-20,5.0005e+01
-3.0000,1.6276e+00,3.6823e-20,5.0002e+01
-2.2500,1.7016e+00,4.4908e-20,5.0000e+01
-1.5000,1.6232e+00,4.9479e-20,5.0000e+01
-0.7500,1.5849e+00,5.2693e-20,5.0000e+01
0.0000,1.5917e+00,4.7676e-20,5.0000e+01
0.7500,1.5776e+00,4.9007e-20,5.0000e+01
1.5000,1.5752e+00,4.2657e-20,5.0000e+01
2.2500,1.5714e+00,3.6644e-20,5.0000e+01
3.0000,1.5666e+00,3.0739e-20,5.0002e+01
3.7500,1.5708e+00,2.4800e-20,5.0005e+01
4.5000,1.5950e+00,1.8803e-20,5.0017e+01
5.2500,1.6587e+00,1.2885e-20,5.0056e+01
6.0000,1.7909e+00,7.5098e-21,5.0184e+01
6.7500,2.0440e+00,3.3998e-21,5.0606e+01
7.5000,2.3543e+00,1.0862e-21,5.1958e+01
8.2500,3.4799e+00,1.8441e-22,5.5960e+01
9.0000,7.0426e+00,1.6594e-23,6.5501e+01
9.7500,1.3576e+01,1.1181e-24,7.9934e+01
10.5000,2.1535e+01,8.7363e-26,9.1601e+01
11.2500,2.8100e+01,1.0896e-26,9.7134e+01
12.0000,3.2599e+01,2.5084e-27,9.9101e+01
12.7500,3.5428e+01,1.0058e-27,9.9726e+01
13.5000,3.7045e+01,5.9969e-28,9.9917e+01
14.2500,3.7833e+01,4.6184e-28,9.9975e+01
15.0000,3.7963e+01,2.1409e-28,9.9992e+01
