x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7967e+01,2.2230e-28,9.9992e+01
-14.2500,3.7835e+01,4.7940e-28,9.9975e+01
-13.5000,3.7048e+01,6.2239e-28,9.9917e+01
-12.7500,3.5431e+01,1.0436e-27,9.9726e+01
-12.0000,3.2602e+01,2.6010e-27,9.9101e+01
-11.2500,2.8102e+01,1.1287e-26,9.7134e+01
-10.5000,2.1538e+01,9.0329e-26,9.1601e+01
-9.7500,1.3578e+01,1.1521e-24,7.9934e+01
-9.0000,7.0394e+00,1.6985e-23,6.5501e+01
-8.2500,3.4699e+00,1.8731e-22,5.5960e+01
-7.5000,2.3404e+00,1.0958e-21,5.1958e+01
-6.7500,2.0251e+00,3.4112e-21,5.0606e+01
-6.0000,1.7629e+00,7.5205e-21,5.0184e+01
-5.2500,1.6231e+00,1.2965e-20,5.0056e+01
-4.5000,1.5531e+00,1.9196e-20,5.0017e+01
-3.7500,1.5321e+00,2.6039e-20,5.0005e+01
-3.0000,1.5916e+00,3.3513e-20,5.0002e+01
-2.2500,1.6057e+00,4.0235e-20,5.0000e+01
-1.5000,1.5451e+00,4.4382e-20,5.0000e+01
-0.7500,1.5268e+00,4.7630e-20,5.0000e+01
0.0000,1.5422e+00,4.3454e-20,5.0000e+01
0.7500,1.5266e+00,4.4887e-20,5.0000e+01
1.5000,1.5210e+00,3.9298e-20,5.0000e+01
2.2500,1.5216e+00,3.3976e-20,5.0000e+01
3.0000,1.5213e+00,2.8683e-20,5.0002e+01
3.7500,1.5297e+00,2.3283e-20,5.0005e+01
4.5000,1.5600e+00,1.7771e-20,5.0017e+01
5.2500,1.6288e+00,1.2266e-20,5.0056e+01
6.0000,1.7670e+00,7.2052e-21,5.0184e+01
6.7500,2.0253e+00,3.2880e-21,5.0606e+01
7.5000,2.3398e+00,1.0587e-21,5.1958e+01
8.2500,3.4706e+00,1.8118e-22,5.5960e+01
9.0000,7.0383e+00,1.6414e-23,6.5501e+01
9.7500,1.3576e+01,1.1116e-24,7.9934e+01
10.5000,2.1537e+01,8.7110e-26,9.1601e+01
11.2500,2.8102e+01,1.0881e-26,9.7134e+01
12.0000,3.2601e+01,2.5068e-27,9.9101e+01
12.7500,3.5430e+01,1.0055e-27,9.9726e+01
13.5000,3.7047e+01,5.9962e-28,9.9917e+01
14.2500,3.7835e+01,4.6181e-28,9.9975e+01
15.0000,3.7965e+01,2.1409e-28,9.9992e+01
