x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7964e+01,2.2232e-28,9.9992e+01
-14.2500,3.7832e+01,4.7943e-28,9.9975e+01
-13.5000,3.7045e+01,6.2240e-28,9.9917e+01
-12.7500,3.5429e+01,1.0434e-27,9.9726e+01
-12.0000,3.2603e+01,2.5987e-27,9.9101e+01
-11.2500,2.8106e+01,1.1259e-26,9.7134e+01
-10.5000,2.1546e+01,8.9805e-26,9.1601e+01
-9.7500,1.3592e+01,1.1363e-24,7.9934e+01
-9.0000,7.0568e+00,1.6508e-23,6.5501e+01
-8.2500,3.4893e+00,1.7849e-22,5.5960e+01
-7.5000,2.3526e+00,1.0223e-21,5.1958e+01
-6.7500,2.0373e+00,3.1306e-21,5.0606e+01
-6.0000,1.7726e+00,6.8321e-21,5.0184e+01
-5.2500,1.6226e+00,1.1748e-20,5.0056e+01
-4.5000,1.5388e+00,1.7547e-20,5.0017e+01
-3.7500,1.4975e+00,2.4491e-20,5.0005e+01
-3.0000,1.5016e+00,3.3379e-20,5.0002e+01
-2.2500,1.6040e+00,4.2788e-20,5.0000e+01
-1.5000,1.5302e+00,4.7133e-20,5.0000e+01
-0.7500,1.4960e+00,4.7093e-20,5.0000e+01
0.0000,1.5234e+00,4.0819e-20,5.0000e+01
0.7500,1.5042e+00,4.1016e-20,5.0000e+01
1.5000,1.4965e+00,3.5234e-20,5.0000e+01
2.2500,1.4941e+00,3.0003e-20,5.0000e+01
3.0000,1.5008e+00,2.5015e-20,5.0002e+01
3.7500,1.5173e+00,2.0239e-20,5.0005e+01
4.5000,1.5581e+00,1.5527e-20,5.0017e+01
5.2500,1.6345e+00,1.0802e-20,5.0056e+01
6.0000,1.7782e+00,6.4436e-21,5.0184e+01
6.7500,2.0395e+00,2.9998e-21,5.0606e+01
7.5000,2.3542e+00,9.8518e-22,5.1958e+01
8.2500,3.4879e+00,1.7233e-22,5.5960e+01
9.0000,7.0563e+00,1.5940e-23,6.5501e+01
9.7500,1.3591e+01,1.0962e-24,7.9934e+01
10.5000,2.1546e+01,8.6603e-26,9.1601e+01
11.2500,2.8106e+01,1.0854e-26,9.7134e+01
12.0000,3.2602e+01,2.5044e-27,9.9101e+01
12.7500,3.5429e+01,1.0052e-27,9.9726e+01
13.5000,3.7045e+01,5.9957e-28,9.9917e+01
14.2500,3.7832e+01,4.6181e-28,9.9975e+01
15.0000,3.7962e+01,2.1409e-28,9.9992e+01
