x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,6.2475e+01,1.5395e-28,9.9992e+01
-14.2500,6.4143e+01,3.3663e-28,9.9975e+01
-13.5000,6.4077e+01,4.5119e-28,9.9917e+01
-12.7500,6.2320e+01,7.7922e-28,9.9726e+01
-12.0000,5.8502e+01,1.9593e-27,9.9101e+01
-11.2500,5.1807e+01,8.5262e-27,9.7134e+01
-10.5000,3.8944e+01,6.9263e-26,9.1601e+01
-9.7500,2.2552e+01,8.5755e-25,7.9934e+01
-9.0000,1.0289e+01,1.5533e-23,6.5501e+01
-8.2500,5.2553e+00,1.9590e-22,5.5960e+01
-7.5000,3.6130e+00,1.1806e-21,5.1958e+01
-6.7500,3.4059e+00,4.1132e-21,5.0606e+01
-6.0000,3.3217e+00,1.0775e-20,5.0184e+01
-5.2500,3.3364e+00,2.2253e-20,5.0056e+01
-4.5000,3.4206e+00,3.8495e-20,5.0017e+01
-3.7500,3.5653e+00,5.8274e-20,5.0005e+01
-3.0000,3.7073e+00,7.8736e-20,5.0002e+01
-2.2500,3.6445e+00,9.5161e-20,5.0000e+01
-1.5000,3.4867e+00,1.0745e-19,5.0000e+01
-0.7500,3.3919e+00,1.1865e-19,5.0000e+01
0.0000,3.3281e+00,1.1346e-19,5.0000e+01
0.7500,3.3893e+00,1.1733e-19,5.0000e+01
1.5000,3.4767e+00,1.0490e-19,5.0000e+01
2.2500,3.5950e+00,9.1564e-20,5.0000e+01
3.0000,3.6693e+00,7.5221e-20,5.0002e+01
3.7500,3.5247e+00,5.5642e-20,5.0005e+01
4.5000,3.4015e+00,3.6898e-20,5.0017e+01
5.2500,3.3254e+00,2.1401e-20,5.0056e+01
6.0000,3.3144e+00,1.0380e-20,5.0184e+01
6.7500,3.4021e+00,3.9656e-21,5.0606e+01
7.5000,3.6110e+00,1.1376e-21,5.1958e+01
8.2500,5.2516e+00,1.8866e-22,5.5960e+01
9.0000,1.0287e+01,1.4957e-23,6.5501e+01
9.7500,2.2554e+01,8.2560e-25,7.9934e+01
10.5000,3.8939e+01,6.6641e-26,9.1601e+01
11.2500,5.1806e+01,8.2027e-27,9.7134e+01
12.0000,5.8501e+01,1.8847e-27,9.9101e+01
12.7500,6.2321e+01,7.4961e-28,9.9726e+01
13.5000,6.4078e+01,4.3391e-28,9.9917e+01
14.2500,6.4149e+01,3.2381e-28,9.9975e+01
15.0000,6.2475e+01,1.4802e-28,9.9992e+01
