x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.8018e+01,2.2245e-28,9.9992e+01
-14.2500,3.7891e+01,4.7985e-28,9.9975e+01
-13.5000,3.7102e+01,6.2296e-28,9.9917e+01
-12.7500,3.5485e+01,1.0444e-27,9.9726e+01
-12.0000,3.2650e+01,2.6025e-27,9.9101e+01
-11.2500,2.8144e+01,1.1300e-26,9.7134e+01
-10.5000,2.1572e+01,9.0486e-26,9.1601e+01
-9.7500,1.3598e+01,1.1528e-24,7.9934e+01
-9.0000,7.0419e+00,1.7011e-23,6.5501e+01
-8.2500,3.4641e+00,1.8816e-22,5.5960e+01
-7.5000,2.3339e+00,1.1013e-21,5.1958e+01
-6.7500,2.0169e+00,3.4324e-21,5.0606e+01
-6.0000,1.7567e+00,7.5816e-21,5.0184e+01
-5.2500,1.6180e+00,1.3092e-20,5.0056e+01
-4.5000,1.5503e+00,1.9410e-20,5.0017e+01
-3.7500,1.5326e+00,2.6328e-20,5.0005e+01
-3.0000,1.5919e+00,3.3762e-20,5.0002e+01
-2.2500,1.6078e+00,4.0258e-20,5.0000e+01
-1.5000,1.5424e+00,4.4285e-20,5.0000e+01
-0.7500,1.5272e+00,4.7703e-20,5.0000e+01
0.0000,1.5409e+00,4.3815e-20,5.0000e+01
0.7500,1.5264e+00,4.5574e-20,5.0000e+01
1.5000,1.5230e+00,4.0261e-20,5.0000e+01
2.2500,1.5240e+00,3.5045e-20,5.0000e+01
3.0000,1.5226e+00,2.9589e-20,5.0002e+01
3.7500,1.5251e+00,2.3876e-20,5.0005e+01
4.5000,1.5522e+00,1.8101e-20,5.0017e+01
5.2500,1.6193e+00,1.2429e-20,5.0056e+01
6.0000,1.7578e+00,7.2730e-21,5.0184e+01
6.7500,2.0179e+00,3.3099e-21,5.0606e+01
7.5000,2.3333e+00,1.0642e-21,5.1958e+01
8.2500,3.4653e+00,1.8197e-22,5.5960e+01
9.0000,7.0412e+00,1.6439e-23,6.5501e+01
9.7500,1.3596e+01,1.1125e-24,7.9934e+01
10.5000,2.1571e+01,8.7261e-26,9.1601e+01
11.2500,2.8145e+01,1.0893e-26,9.7134e+01
12.0000,3.2651e+01,2.5081e-27,9.9101e+01
12.7500,3.5485e+01,1.0061e-27,9.9726e+01
13.5000,3.7103e+01,6.0007e-28,9.9917e+01
14.2500,3.7888e+01,4.6221e-28,9.9975e+01
15.0000,3.8016e+01,2.1428e-28,9.9992e+01
