x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7964e+01,2.2229e-28,9.9992e+01
-14.2500,3.7833e+01,4.7937e-28,9.9975e+01
-13.5000,3.7045e+01,6.2235e-28,9.9917e+01
-12.7500,3.5428e+01,1.0435e-27,9.9726e+01
-12.0000,3.2600e+01,2.6003e-27,9.9101e+01
-11.2500,2.8101e+01,1.1279e-26,9.7134e+01
-10.5000,2.1538e+01,9.0206e-26,9.1601e+01
-9.7500,1.3580e+01,1.1490e-24,7.9934e+01
-9.0000,7.0430e+00,1.6895e-23,6.5501e+01
-8.2500,3.4753e+00,1.8554e-22,5.5960e+01
-7.5000,2.3451e+00,1.0802e-21,5.1958e+01
-6.7500,2.0312e+00,3.3481e-21,5.0606e+01
-6.0000,1.7704e+00,7.3462e-21,5.0184e+01
-5.2500,1.6289e+00,1.2593e-20,5.0056e+01
-4.5000,1.5571e+00,1.8532e-20,5.0017e+01
-3.7500,1.5315e+00,2.5015e-20,5.0005e+01
-3.0000,1.5515e+00,3.2221e-20,5.0002e+01
-2.2500,1.6089e+00,3.9751e-20,5.0000e+01
-1.5000,1.5474e+00,4.4153e-20,5.0000e+01
-0.7500,1.5270e+00,4.6845e-20,5.0000e+01
0.0000,1.5452e+00,4.2252e-20,5.0000e+01
0.7500,1.5278e+00,4.3207e-20,5.0000e+01
1.5000,1.5236e+00,3.7475e-20,5.0000e+01
2.2500,1.5207e+00,3.2217e-20,5.0000e+01
3.0000,1.5239e+00,2.7248e-20,5.0002e+01
3.7500,1.5356e+00,2.2280e-20,5.0005e+01
4.5000,1.5663e+00,1.7146e-20,5.0017e+01
5.2500,1.6364e+00,1.1923e-20,5.0056e+01
6.0000,1.7736e+00,7.0431e-21,5.0184e+01
6.7500,2.0308e+00,3.2292e-21,5.0606e+01
7.5000,2.3443e+00,1.0441e-21,5.1958e+01
8.2500,3.4748e+00,1.7948e-22,5.5960e+01
9.0000,7.0415e+00,1.6326e-23,6.5501e+01
9.7500,1.3577e+01,1.1086e-24,7.9934e+01
10.5000,2.1536e+01,8.6989e-26,9.1601e+01
11.2500,2.8101e+01,1.0873e-26,9.7134e+01
12.0000,3.2599e+01,2.5061e-27,9.9101e+01
12.7500,3.5428e+01,1.0054e-27,9.9726e+01
13.5000,3.7045e+01,5.9956e-28,9.9917e+01
14.2500,3.7832e+01,4.6179e-28,9.9975e+01
15.0000,3.7962e+01,2.1407e-28,9.9992e+01
