x_nm,n_msbte_nm1,p_1D_nm1,A_nm2
-15.0000,3.7964e+01,2.2227e-28,9.9992e+01
-14.2500,3.7833e+01,4.7932e-28,9.9975e+01
-13.5000,3.7045e+01,6.2219e-28,9.9917e+01
-12.7500,3.5429e+01,1.0429e-27,9.9726e+01
-12.0000,3.2601e+01,2.5971e-27,9.9101e+01
-11.2500,2.8102e+01,1.1251e-26,9.7134e+01
-10.5000,2.1538e+01,8.9797e-26,9.1601e+01
-9.7500,1.3577e+01,1.1387e-24,7.9934e+01
-9.0000,7.0329e+00,1.6634e-23,6.5501e+01
-8.2500,3.4556e+00,1.8142e-22,5.5960e+01
-7.5000,2.3170e+00,1.0509e-21,5.1958e+01
-6.7500,1.9940e+00,3.2537e-21,5.0606e+01
-6.0000,1.7223e+00,7.1821e-21,5.0184e+01
-5.2500,1.5706e+00,1.2488e-20,5.0056e+01
-4.5000,1.4871e+00,1.8816e-20,5.0017e+01
-3.7500,1.4495e+00,2.6337e-20,5.0005e+01
-3.0000,1.4696e+00,3.5670e-20,5.0002e+01
-2.2500,1.5333e+00,4.5473e-20,5.0000e+01
-1.5000,1.4851e+00,5.0741e-20,5.0000e+01
-0.7500,1.4425e+00,5.1532e-20,5.0000e+01
0.0000,1.4636e+00,4.5005e-20,5.0000e+01
0.7500,1.4470e+00,4.5398e-20,5.0000e+01
1.5000,1.4414e+00,3.9007e-20,5.0000e+01
2.2500,1.4403e+00,3.3141e-20,5.0000e+01
3.0000,1.4465e+00,2.7513e-20,5.0002e+01
3.7500,1.4628e+00,2.2097e-20,5.0005e+01
4.5000,1.5031e+00,1.6768e-20,5.0017e+01
5.2500,1.5816e+00,1.1524e-20,5.0056e+01
6.0000,1.7296e+00,6.7825e-21,5.0184e+01
6.7500,1.9965e+00,3.1167e-21,5.0606e+01
7.5000,2.3176e+00,1.0122e-21,5.1958e+01
8.2500,3.4572e+00,1.7518e-22,5.5960e+01
9.0000,7.0327e+00,1.6062e-23,6.5501e+01
9.7500,1.3575e+01,1.0984e-24,7.9934e+01
10.5000,2.1538e+01,8.6588e-26,9.1601e+01
11.2500,2.8102e+01,1.0845e-26,9.7134e+01
12.0000,3.2600e+01,2.5027e-27,9.9101e+01
12.7500,3.5428e+01,1.0048e-27,9.9726e+01
13.5000,3.7045e+01,5.9937e-28,9.9917e+01
14.2500,3.7832e+01,4.6170e-28,9.9975e+01
15.0000,3.7962e+01,2.1405e-28,9.9992e+01
